UKPRN,Provider Name,Provider Type,Completions 13/14,Bottom Quintile 13/14,Second Quintile 13/14,Third Quintile 13/14,Fourth Quintile 13/14,Top Quintile 13/14,Completions 14/15,Bottom Quintile 14/15,Second Quintile 14/15,Third Quintile 14/15,Fourth Quintile 14/15,Top Quintile 14/15,Completions 15/16,Bottom Quintile 15/16,Second Quintile 15/16,Third Quintile 15/16,Fourth Quintile 15/16,Top Quintile 15/16
10001078,CABLECOM TRAINING LIMITED,Private Sector Public Funded,860,77,12,5,0,5,580,51,27,7,0,15,380,48,24,18,0,10
10001082,CADBURY SIXTH FORM COLLEGE,Other,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10001093,CALDERDALE COLLEGE,General FE College incl Tertiary,2750,59,26,7,3,6,2410,50,23,6,9,12,2060,43,20,23,7,7
10001094,CALDERDALE METROPOLITAN BOROUGH COUNCIL,Other Public Funded,1060,21,67,0,7,4,220,0,88,0,0,12,200,0,57,0,16,27
10012822,CAMBIAN DILSTON COLLEGE,Other Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,10,100,0,0,0,0
10012804,CAMBIAN LUFTON COLLEGE,Other Public Funded,.,.,.,.,.,.,30,100,0,0,0,0,20,100,0,0,0,0
10027379,CAMBIAN WING COLLEGE,NULL,.,.,.,.,.,.,.,.,.,.,.,.,x,x,x,x,x,x
10001116,CAMBRIDGE REGIONAL COLLEGE,General FE College incl Tertiary,6990,13,18,16,12,41,6340,16,9,7,14,54,6190,39,6,3,16,36
10001123,CAMBRIDGESHIRE COUNTY COUNCIL,Other Public Funded,930,38,20,14,10,18,620,51,0,29,0,20,650,73,0,25,0,2
10003988,CAMDEN LONDON BOROUGH COUNCIL,Other Public Funded,90,100,0,0,0,0,100,15,85,0,0,0,100,83,17,0,0,0
10001144,CANTERBURY COLLEGE,General FE College incl Tertiary,3040,11,28,19,11,31,2210,17,15,45,16,7,1470,13,24,45,8,10
10001145,CANTO LIMITED,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,10,100,0,0,0,0
10001148,CAPEL MANOR COLLEGE,Special Colleges,1630,10,41,11,30,7,1430,20,24,2,52,2,1020,9,0,80,5,6
10001149,CAPITA PLC,Private Sector Public Funded,690,2,10,0,0,88,840,0,0,6,40,54,1540,6,20,1,21,52
10022461,CAPITAL ENGINEERING GROUP HOLDINGS LTD,Private Sector Public Funded,360,29,7,0,47,17,260,52,0,16,0,32,270,17,0,65,0,18
10001165,CARDINAL NEWMAN COLLEGE,Other,150,7,0,0,0,93,110,9,0,0,0,91,100,0,0,0,0,100
10001177,CAREER DEVELOPMENT CENTER LIMITED,Private Sector Public Funded,290,53,0,15,0,32,130,0,58,0,0,42,.,.,.,.,.,.
10001193,CARILLION CONSTRUCTION LIMITED,Private Sector Public Funded,700,9,71,0,20,0,580,100,0,0,0,0,530,93,4,0,0,2
10001196,CARLISLE COLLEGE,General FE College incl Tertiary,880,9,18,4,4,65,750,13,12,27,2,46,610,9,9,23,19,40
10001201,CARMEL COLLEGE,Other,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10001207,CARSHALTON COLLEGE,General FE College incl Tertiary,790,15,20,2,28,35,510,25,14,5,18,38,320,33,5,11,30,21
10025727,CATCH 22 CHARITY LIMITED,Private Sector Public Funded,200,69,12,0,0,19,510,75,4,0,0,20,510,59,4,26,0,11
10001292,CCP GRADUATE SCHOOL LTD,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10002061,CENTRAL BEDFORDSHIRE COLLEGE,General FE College incl Tertiary,1500,16,22,4,39,20,1440,39,0,13,37,11,1350,8,4,56,28,4
10024292,CENTRAL BEDFORDSHIRE COUNCIL,Other Public Funded,910,27,26,12,32,3,630,39,23,16,20,2,590,23,39,0,29,9
10005991,CENTRAL COLLEGE NOTTINGHAM,General FE College incl Tertiary,14500,6,30,34,13,17,10740,15,21,12,29,24,9110,15,27,12,26,20
10001744,CENTRAL SUSSEX COLLEGE,General FE College incl Tertiary,3310,25,3,15,27,29,2650,8,25,19,18,30,1900,5,8,43,32,13
10001259,CENTRAL TRAINING ACADEMY LIMITED,Private Sector Public Funded,510,55,2,0,16,27,510,57,3,5,14,21,430,12,8,4,55,20
10018361,CENTRE FOR ADVANCED STUDIES LIMITED,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,x,x,x,x,x,x
10001310,CHAMBER TRAINING (HUMBER) LIMITED,Private Sector Public Funded,210,36,0,0,0,64,160,49,0,15,0,36,160,24,0,0,11,65
10024603,CHAPMAN BENNETT ASSOCIATES LIMITED,Private Sector Public Funded,200,93,0,0,0,7,340,93,0,0,0,7,300,0,91,0,0,9
10001326,CHARNWOOD TRAINING GROUP LIMITED,Private Sector Public Funded,1730,1,13,45,15,25,840,22,1,0,24,53,.,.,.,.,.,.
10001346,CHEADLE AND MARPLE SIXTH FORM COLLEGE,Other,460,9,6,20,25,40,280,17,49,26,4,4,220,28,8,5,27,32
10001351,CHELMER TRAINING LIMITED,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,.,.,.,.,.,.
10001353,CHELMSFORD COLLEGE,General FE College incl Tertiary,1350,63,3,19,6,8,1050,75,13,3,2,7,920,47,20,11,13,10
10024293,CHESHIRE EAST COUNCIL,Other Public Funded,640,43,13,43,0,2,600,55,15,30,0,0,470,37,0,63,0,0
10024294,CHESHIRE WEST AND CHESTER COUNCIL,Other Public Funded,910,31,2,0,0,66,780,39,15,0,41,4,700,17,12,22,47,2
10020827,CHESTERFIELD BUSINESS COLLEGE LIMITED,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,x,x,x,x,x,x
10001378,CHESTERFIELD COLLEGE,General FE College incl Tertiary,3000,7,13,23,36,21,2670,12,9,37,15,27,2800,25,20,11,21,23
10008159,CHEYNE'S (MANAGEMENT) LIMITED,Private Sector Public Funded,160,74,26,0,0,0,260,72,28,0,0,0,370,67,33,0,0,0
10007817,CHICHESTER COLLEGE,General FE College incl Tertiary,5390,11,4,7,35,43,3250,10,18,4,13,55,2890,17,27,21,8,26
10001392,CHILDREN'S LINKS,Private Sector Public Funded,50,46,0,0,54,0,50,0,0,0,0,100,60,41,0,34,25,0
10001394,CHILTERN TRAINING LIMITED,Private Sector Public Funded,250,20,16,0,47,18,240,9,20,0,33,38,170,58,0,0,10,32
10001405,CHOICES 4 ALL,Private Sector Public Funded,10,0,0,0,100,0,10,0,0,0,100,0,.,.,.,.,.,.
10001416,CHRIST THE KING SIXTH FORM COLLEGE,Other,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10001446,CIRENCESTER COLLEGE,Other,590,6,2,0,9,83,490,62,0,2,2,34,210,0,45,0,8,48
10001436,CITB,Other Public Funded,3310,12,22,54,6,6,3720,1,22,57,12,7,3900,24,1,65,8,2
10019087,CITROEN U.K. LIMITED,Private Sector Public Funded,130,0,0,0,36,64,120,13,37,0,34,16,130,0,29,48,0,23
10001452,CITY AND ISLINGTON COLLEGE,General FE College incl Tertiary,7710,16,38,21,22,3,6190,18,36,12,30,3,4810,24,14,35,16,11
10001457,CITY COLLEGE BRIGHTON AND HOVE,General FE College incl Tertiary,2400,21,11,14,33,21,2100,5,16,37,28,15,1400,5,8,47,33,8
10001458,CITY COLLEGE COVENTRY,General FE College incl Tertiary,1910,6,7,13,23,51,1490,8,31,36,7,19,1110,10,22,16,30,22
10004772,CITY COLLEGE NORWICH,General FE College incl Tertiary,2220,8,7,29,2,55,1760,3,1,22,31,43,1240,10,10,24,48,8
10009263,CITY COLLEGE NOTTINGHAM,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,20,100,0,0,0,0
10005128,CITY COLLEGE PLYMOUTH,General FE College incl Tertiary,3810,4,11,41,27,16,2770,9,12,8,33,40,2400,3,17,16,30,34
10019383,CITY GATEWAY,Private Sector Public Funded,320,23,28,4,29,16,270,36,19,36,4,4,190,70,30,0,0,0
10037669,CITY GATEWAY 14-19 PROVISION,Other,x,x,x,x,x,x,10,100,0,0,0,0,50,0,0,100,0,0
10001467,CITY OF BRISTOL COLLEGE,General FE College incl Tertiary,8870,5,7,45,30,13,6140,12,12,25,19,32,5120,2,39,10,23,25
10001474,CITY OF STOKE-ON-TRENT SIXTH FORM COLLEGE,Other,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10001476,CITY OF WESTMINSTER COLLEGE,General FE College incl Tertiary,3640,48,17,2,26,6,3470,45,15,8,5,27,2980,38,20,36,1,5
10007578,CITY OF WOLVERHAMPTON COLLEGE,General FE College incl Tertiary,5960,16,26,20,27,11,4120,27,19,34,10,9,3110,20,15,34,22,9
10001477,CITY OF YORK COUNCIL,Other Public Funded,1050,51,0,7,25,17,680,18,3,13,46,20,480,7,63,12,7,11
10001488,CLARKSON EVANS LIMITED,Private Sector Public Funded,50,0,0,0,0,100,.,.,.,.,.,.,.,.,.,.,.,.
10025390,CLARKSON EVANS TRAINING LIMITED,Private Sector Public Funded,.,.,.,.,.,.,90,0,0,0,100,0,80,0,0,0,100,0
10001492,CLAVERHAM COMMUNITY COLLEGE,Other,20,0,0,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.
10001503,CLEVELAND COLLEGE OF ART AND DESIGN,Special Colleges,60,18,0,0,51,31,50,37,0,0,0,63,60,0,0,0,84,16
10005775,CLEVELAND YOUTH ASSOCIATION,Private Sector Public Funded,60,0,0,0,0,100,50,0,0,46,0,54,70,21,32,47,0,0
10001535,COLCHESTER INSTITUTE,General FE College incl Tertiary,3920,11,19,9,36,25,3040,13,18,6,32,31,2500,18,14,24,15,29
10001538,COLEG ELIDYR,Private Sector Public Funded,x,x,x,x,x,x,.,.,.,.,.,.,x,x,x,x,x,x
10001548,"COLLEGE OF HARINGEY, ENFIELD AND NORTH-EAST LONDON, THE",General FE College incl Tertiary,14900,52,18,7,3,21,11850,8,49,39,3,1,8640,33,7,5,18,37
10001549,"COLLEGE OF NORTH WEST LONDON, THE",General FE College incl Tertiary,4980,7,38,32,14,9,5570,23,35,16,23,3,6430,11,29,34,23,3
10008915,COMMON COUNCIL OF THE CITY OF LONDON,Other Public Funded,150,59,0,0,26,14,170,93,7,0,0,0,140,37,0,0,45,18
10002006,COMMUNICATION SPECIALIST COLLEGE -  DONCASTER,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10032017,COMMUNITY LEARNING IN PARTNERSHIP (CLIP) CIC,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,x,x,x,x,x,x
10001602,COMMUNITY TRAINING SERVICES LIMITED,Private Sector Public Funded,1520,74,3,10,0,13,1380,75,10,12,3,0,1350,57,24,0,14,5
10024317,"COMPASS GROUP, UK AND IRELAND LIMITED",Private Sector Public Funded,420,17,0,13,0,70,360,42,0,0,0,58,210,0,31,0,49,20
10009120,CONDOVER COLLEGE LIMITED,Private Sector Public Funded,10,100,0,0,0,0,x,x,x,x,x,x,10,100,0,0,0,0
10033482,CONSORTIA TRAINING LIMITED,Private Sector Public Funded,120,56,31,0,0,13,100,0,60,0,0,40,150,36,0,0,0,64
10033547,CONSORTIUM OF VOCATIONAL AND EDUCATIONAL TRAINERS LIMITED,Private Sector Public Funded,230,23,0,14,0,64,150,18,10,0,46,26,170,0,53,0,15,32
10032547,CORDANT GROUP PLC,Private Sector Public Funded,170,0,8,9,32,51,.,.,.,.,.,.,.,.,.,.,.,.
10001696,CORNWALL COLLEGE,General FE College incl Tertiary,5360,18,25,20,15,22,4680,25,14,14,34,13,3910,5,35,23,15,23
10001705,COULSDON SIXTH FORM COLLEGE,Other,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10001710,COUNCIL OF THE ISLES OF SCILLY,Other Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,.,.,.,.,.,.
10002064,COUNTY DURHAM COUNCIL,Other Public Funded,1090,28,56,0,6,10,1300,51,0,5,43,1,1010,74,13,0,2,11
10001309,COVENTRY AND WARWICKSHIRE CHAMBERS OF COMMERCE TRAINING LIMITED,Private Sector Public Funded,820,12,13,14,8,54,810,23,0,6,13,59,560,47,0,0,3,50
10001723,COVENTRY CITY COUNCIL,Other Public Funded,2610,1,0,33,43,23,2690,2,21,29,42,7,2310,4,5,43,45,3
10001726,COVENTRY UNIVERSITY,Other Public Funded,30,56,0,0,0,44,10,0,0,0,0,100,x,x,x,x,x,x
10001736,CRACKERJACK TRAINING LIMITED,Private Sector Public Funded,180,100,0,0,0,0,290,59,22,11,0,8,180,24,69,0,6,0
10001743,CRAVEN COLLEGE,General FE College incl Tertiary,2790,12,14,7,35,32,2540,11,23,28,2,36,1960,10,1,33,19,37
10023901,CREATIVE PROCESS,Private Sector Public Funded,10,100,0,0,0,0,110,0,49,0,51,0,100,85,0,0,0,15
10001778,CROYDON COLLEGE,General FE College incl Tertiary,4020,6,2,7,56,29,2690,3,9,13,45,29,2670,4,2,61,5,28
10003989,CROYDON LONDON BOROUGH COUNCIL,Other Public Funded,3050,6,59,13,18,3,2700,8,50,30,12,0,2410,4,50,40,4,1
10001786,CSM CONSULTING LIMITED,Private Sector Public Funded,1090,6,0,55,29,10,480,15,24,35,0,27,320,9,69,4,18,0
10001174,CT SKILLS LIMITED,Private Sector Public Funded,2630,21,12,9,53,5,2010,20,14,5,15,45,1720,15,10,6,14,56
10007911,CTC KINGSHURST ACADEMY,Other Public Funded,70,0,14,0,0,86,.,.,.,.,.,.,x,x,x,x,x,x
10001800,CUMBRIA COUNTY COUNCIL,Other Public Funded,1700,70,1,5,5,20,1340,47,16,7,31,0,930,26,0,9,22,42
10001997,D M T BUSINESS SERVICES LTD,Private Sector Public Funded,110,64,12,0,12,11,100,0,27,13,0,60,70,35,0,18,19,28
10031146,D MANTLE LIMITED,Private Sector Public Funded,10,100,0,0,0,0,30,0,62,0,0,38,90,28,0,0,31,41
10035656,D.K.B. LEASING LIMITED,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,x,x,x,x,x,x
10001831,DAMAR LIMITED,Private Sector Public Funded,460,0,0,0,0,100,510,0,2,69,22,7,560,0,2,26,60,12
10001848,DARLINGTON BOROUGH COUNCIL,Other Public Funded,240,34,57,0,4,5,190,63,0,0,37,0,270,23,25,36,13,4
10001850,DARLINGTON COLLEGE,General FE College incl Tertiary,4620,11,58,11,1,20,3140,24,35,15,13,12,2680,54,12,16,2,16
10001828,DART LIMITED,Private Sector Public Funded,190,13,35,0,24,28,160,6,0,37,0,57,260,18,40,24,0,18
10001869,DAVIDSON TRAINING UK LIMITED,Private Sector Public Funded,290,87,13,0,0,0,220,93,0,7,0,0,270,74,11,15,0,0
10022117,DAWN HODGE ASSOCIATES LIMITED,Private Sector Public Funded,430,12,0,75,0,13,540,32,47,0,0,21,620,4,0,0,0,96
10001883,DE MONTFORT UNIVERSITY,Other Public Funded,30,0,0,0,0,100,30,0,0,0,0,100,30,0,0,0,0,100
10001897,DEARNE VALLEY COLLEGE,General FE College incl Tertiary,670,38,5,16,36,4,670,51,3,21,2,23,630,12,8,22,49,8
10005109,DERBY BUSINESS COLLEGE LIMITED,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,30,0,0,0,0,100
10001918,DERBY CITY COUNCIL,Other Public Funded,1590,13,41,16,20,9,1570,19,21,42,0,18,1240,2,44,29,6,18
10001919,DERBY COLLEGE,General FE College incl Tertiary,9060,29,24,4,23,20,7310,12,25,18,28,17,6210,16,32,33,5,14
10007922,DERBY SKILLBUILD,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,x,x,x,x,x,x
10001927,DERBYSHIRE AND NOTTINGHAMSHIRE CHAMBER OF COMMERCE AND INDUSTRY,Private Sector Public Funded,240,44,0,48,0,8,180,13,0,0,13,74,140,14,11,0,0,75
10001928,DERBYSHIRE COUNTY COUNCIL,Other Public Funded,3300,3,25,21,21,30,2350,0,30,16,25,28,2040,2,40,2,23,33
10001929,DERWEN COLLEGE,Other Public Funded,50,100,0,0,0,0,40,100,0,0,0,0,30,100,0,0,0,0
10001934,DERWENTSIDE COLLEGE,General FE College incl Tertiary,5300,7,4,36,41,13,3970,16,32,34,1,16,3230,11,21,53,2,14
10001944,DEVELOPING INITIATIVES FOR SUPPORT IN THE COMMUNITY,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,.,.,.,.,.,.
10001951,DEVON COUNTY COUNCIL,Other Public Funded,2980,32,37,0,13,18,1930,65,9,0,16,10,1230,51,4,10,22,12
10024714,DHL INTERNATIONAL (UK) LIMITED,Private Sector Public Funded,20,100,0,0,0,0,70,0,0,0,0,100,50,0,0,100,0,0
10001967,DIDAC LIMITED,Private Sector Public Funded,90,30,38,0,0,32,110,9,17,0,25,49,130,0,0,17,48,34
10001971,DIMENSIONS TRAINING SOLUTIONS LIMITED,Private Sector Public Funded,100,78,0,0,0,22,110,79,21,0,0,0,160,40,10,38,12,0
10002005,DONCASTER COLLEGE,General FE College incl Tertiary,3940,20,2,20,11,46,3400,18,15,21,12,34,2990,14,15,32,21,17
10002008,DONCASTER METROPOLITAN BOROUGH COUNCIL,Other Public Funded,120,35,28,11,18,8,.,.,.,.,.,.,100,0,0,75,0,25
10002009,DONCASTER ROTHERHAM AND DISTRICT MOTOR TRADES GROUP TRAINING ASSOCIATION LIMITED,Private Sector Public Funded,110,40,0,0,0,60,100,35,0,0,38,27,110,48,0,0,0,52
10004399,DOOSAN BABCOCK LIMITED,Private Sector Public Funded,70,100,0,0,0,0,70,100,0,0,0,0,60,100,0,0,0,0
10009069,DORTON COLLEGE,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,x,x,x,x,x,x
10007924,DUDLEY COLLEGE,General FE College incl Tertiary,5110,38,17,25,18,2,4460,12,41,20,20,7,3300,27,15,21,25,12
10002054,DUDLEY METROPOLITAN BOROUGH COUNCIL,Other Public Funded,200,79,0,0,0,21,130,9,0,11,80,0,110,0,71,18,0,10
10010648,"E.H.BOOTH & CO.,LIMITED",Private Sector Public Funded,40,0,0,0,0,100,.,.,.,.,.,.,.,.,.,.,.,.
10023793,E.ON UK PLC,Private Sector Public Funded,10,0,0,100,0,0,20,0,0,0,100,0,20,0,0,0,0,100
10002085,E.QUALITY TRAINING LIMITED,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10002088,EAGIT LTD.,Private Sector Public Funded,90,0,0,0,74,26,.,.,.,.,.,.,.,.,.,.,.,.
10009206,EALING LONDON BOROUGH COUNCIL,Other Public Funded,460,82,0,3,0,16,340,100,0,0,0,0,100,69,0,0,31,0
10002094,"EALING, HAMMERSMITH & WEST LONDON COLLEGE",General FE College incl Tertiary,10270,29,28,5,35,4,10120,17,65,3,12,2,9090,8,26,14,43,8
10002107,EAST BERKSHIRE COLLEGE,General FE College incl Tertiary,3250,7,4,19,18,53,2950,7,7,17,57,12,2380,8,8,74,4,7
10002111,EAST DURHAM COLLEGE,General FE College incl Tertiary,3080,47,10,11,6,27,2450,13,18,19,22,29,1780,28,5,22,7,38
10006570,EAST KENT COLLEGE,General FE College incl Tertiary,2380,26,44,17,7,7,2510,42,46,3,9,0,1750,46,20,21,5,7
10002471,EAST LINDSEY INFORMATION TECHNOLOGY CENTRE,Private Sector Public Funded,260,21,12,29,34,4,220,15,0,46,0,39,230,0,17,54,17,12
10002118,EAST LONDON ADVANCED TECHNOLOGY TRAINING,Private Sector Public Funded,360,72,7,0,8,13,320,68,14,8,0,10,320,50,19,19,6,6
10002122,EAST NORFOLK SIXTH FORM COLLEGE,Other,x,x,x,x,x,x,20,0,0,0,100,0,x,x,x,x,x,x
10002126,EAST RIDING COLLEGE,General FE College incl Tertiary,1760,35,10,9,6,41,1520,8,25,3,10,54,1220,25,3,7,0,65
10008919,EAST RIDING OF YORKSHIRE COUNCIL,Other Public Funded,1090,1,54,4,10,31,640,40,7,26,8,20,610,39,0,28,15,18
10002130,EAST SURREY COLLEGE,General FE College incl Tertiary,1640,12,6,15,54,12,1320,2,1,27,38,32,630,8,17,22,31,22
10002143,EASTLEIGH COLLEGE,General FE College incl Tertiary,8140,12,10,20,32,26,8130,25,16,8,25,26,7770,34,9,20,9,27
10037344,EASTON AND OTLEY COLLEGE,Special Colleges,2160,5,6,9,40,39,1300,4,9,7,36,44,610,2,0,48,17,33
10004177,ECONOMIC SOLUTIONS LIMITED,Private Sector Public Funded,4380,11,18,15,17,40,4250,19,26,14,37,4,3660,19,10,15,50,6
10019914,EDEN COLLEGE OF HUMAN RESOURCE DEVELOPMENT AND MANAGEMENT STUDIES LIMITED,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,x,x,x,x,x,x
10027766,EDEN TRAINING SOLUTIONS LIMITED,Private Sector Public Funded,190,5,13,0,25,56,200,24,0,27,15,35,440,25,20,12,13,30
10002186,EDUCATION & YOUTH SERVICES LIMITED,Private Sector Public Funded,1300,10,11,0,0,78,1040,31,20,0,37,12,660,49,8,38,0,5
10002345,EDUCATION AND SERVICES FOR PEOPLE WITH AUTISM,Private Sector Public Funded,20,0,0,0,100,0,x,x,x,x,x,x,x,x,x,x,x,x
10002187,EDUCATION AND TRAINING SKILLS LTD,Private Sector Public Funded,180,0,28,0,0,72,160,0,0,0,0,100,170,25,0,14,0,60
10001298,EDUCATION DEVELOPMENT TRUST,Private Sector Public Funded,x,x,x,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.
10025384,EEF LIMITED,Private Sector Public Funded,40,0,0,0,0,100,90,12,0,0,0,88,110,0,0,0,0,100
10002214,ELFRIDA RATHBONE CAMDEN - LEIGHTON EDUCATION PROJECT,Private Sector Public Funded,x,x,x,x,x,x,10,0,0,0,0,100,10,0,0,100,0,0
10019194,ELMFIELD TRAINING LTD,Private Sector Public Funded,740,6,19,7,16,52,.,.,.,.,.,.,.,.,.,.,.,.
10031331,ELMS ASSOCIATES LTD,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,10,0,0,0,0,100
10023898,ENABLING DEVELOPMENT OPPORTUNITIES LTD,Private Sector Public Funded,.,.,.,.,.,.,10,0,0,0,0,100,40,0,0,34,0,66
10002260,ENFIELD LONDON BOROUGH COUNCIL,Other Public Funded,290,82,0,18,0,0,240,35,44,0,0,21,160,14,73,0,0,13
10003402,ENGINEERING TRUST TRAINING LIMITED,Private Sector Public Funded,40,0,0,100,0,0,30,100,0,0,0,0,70,0,0,0,0,100
10013548,ENGLAND AND WALES CRICKET BOARD LIMITED,Private Sector Public Funded,70,100,0,0,0,0,50,0,100,0,0,0,60,100,0,0,0,0
10008920,ENHAM TRUST,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10032393,ENLIGHTENMENT PARTNERSHIP LIMITED,Private Sector Public Funded,250,56,9,0,0,35,130,18,32,19,0,31,.,.,.,.,.,.
10002297,EPPING FOREST COLLEGE,General FE College incl Tertiary,790,16,23,5,9,47,960,6,5,17,32,41,550,24,3,51,2,19
10044028,EQL SOLUTIONS LIMITED,Private Sector Public Funded,1990,17,9,11,57,6,1650,39,7,43,7,5,1830,40,16,28,13,3
10034309,ESG (SKILLS) LIMITED,Private Sector Public Funded,10280,19,48,31,1,0,7430,6,64,22,8,1,6260,23,21,36,19,0
10002314,ESHER COLLEGE,Other,x,x,x,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.
10002327,ESSEX COUNTY COUNCIL,Other Public Funded,4960,3,20,13,52,12,2880,17,7,27,27,22,2590,12,33,25,18,12
10002078,E-TRAINING LIMITED,Private Sector Public Funded,230,19,0,0,39,42,180,64,0,0,14,22,190,6,43,0,15,35
10019037,"EVENTS STEWARDING, TRAINING AND CONSULTANCY LTD",Private Sector Public Funded,110,40,12,0,0,49,.,.,.,.,.,.,.,.,.,.,.,.
10002368,EXEMPLAS HOLDINGS LIMITED,Private Sector Public Funded,330,16,31,24,0,30,290,55,20,0,0,25,120,32,10,10,0,48
10002370,EXETER COLLEGE,General FE College incl Tertiary,2720,5,3,20,37,36,2350,5,8,4,8,75,1820,12,2,7,12,67
10024771,EXETER ROYAL ACADEMY FOR DEAF EDUCATION,Private Sector Public Funded,30,100,0,0,0,0,x,x,x,x,x,x,10,0,100,0,0,0
10003231,EXG LIMITED,Private Sector Public Funded,3240,19,60,0,0,21,3570,100,0,0,0,0,1930,100,0,0,0,0
10041170,EXPANSE GROUP LTD,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,x,x,x,x,x,x
10002375,EXPEDIENT TRAINING SERVICES LIMITED,Private Sector Public Funded,270,23,10,0,63,4,500,3,89,0,0,8,20,100,0,0,0,0
10002387,F1 COMPUTER SERVICES & TRAINING LIMITED,Private Sector Public Funded,x,x,x,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.
10002396,FAIRFIELD FARM COLLEGE (FAIRFIELD FARM TRUST),Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007928,FAREHAM COLLEGE,General FE College incl Tertiary,1250,13,31,30,4,22,1050,20,22,14,22,22,760,20,9,22,15,35
10002407,FAREPORT TRAINING ORGANISATION LIMITED,Private Sector Public Funded,340,10,14,0,32,45,280,24,14,6,51,5,330,28,14,7,15,36
10002409,FARLEIGH FURTHER EDUCATION COLLEGE - FROME,Other Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,x,x,x,x,x,x
10002412,FARNBOROUGH COLLEGE OF TECHNOLOGY,General FE College incl Tertiary,1220,0,7,3,6,84,1040,0,12,24,24,39,940,3,16,19,10,53
10012865,FARRIERS REGISTRATION COUNCIL,Other Public Funded,50,0,0,0,0,100,.,.,.,.,.,.,.,.,.,.,.,.
10009213,FASHION RETAIL ACADEMY,Private Sector Public Funded,50,100,0,0,0,0,50,28,0,0,0,72,30,0,0,0,0,100
10020022,FINMECCANICA UK LIMITED,Private Sector Public Funded,40,0,0,0,0,100,20,0,0,0,100,0,20,0,0,0,0,100
10002463,FINNING (UK) LTD.,Private Sector Public Funded,20,100,0,0,0,0,30,0,0,0,39,61,40,0,0,0,0,100
10008641,FIRCROFT COLLEGE OF ADULT EDUCATION,Special Colleges,610,73,0,21,6,0,660,90,0,0,6,4,620,86,0,14,0,0
10010571,FIRST CITY TRAINING LIMITED,Private Sector Public Funded,150,7,0,0,33,60,90,0,0,29,0,71,190,10,0,0,63,27
10002483,FIRST RUNG LIMITED,Private Sector Public Funded,10,0,0,100,0,0,30,0,0,0,100,0,60,0,0,0,0,100
10038911,FIRST4SKILLS LIMITED,Private Sector Public Funded,5020,6,55,23,3,13,4070,8,27,52,5,7,3480,19,49,3,18,11
10002424,FNTC TRAINING AND CONSULTANCY LIMITED,Private Sector Public Funded,310,40,0,0,46,13,250,18,0,71,0,11,310,18,28,0,12,42
10009687,FOCUS TRAINING & DEVELOPMENT LTD,Private Sector Public Funded,630,10,10,0,2,79,720,24,7,2,0,66,520,10,10,0,28,52
10026590,FOCUS TRAINING (SW) LIMITED,Private Sector Public Funded,730,29,0,4,23,44,430,14,7,31,0,48,320,33,15,8,0,44
10010401,FOCUS TRAINING LIMITED,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,120,0,0,0,87,13
10001230,FORSTER COMMUNITY COLLEGE LIMITED,Private Sector Public Funded,420,55,26,0,19,0,400,100,0,0,0,0,290,55,45,0,0,0
10002554,FOUR COUNTIES TRAINING LIMITED,Private Sector Public Funded,280,21,4,0,0,75,730,12,2,0,0,86,.,.,.,.,.,.
10002560,FOXES ACADEMY,Private Sector Public Funded,20,100,0,0,0,0,10,100,0,0,0,0,.,.,.,.,.,.
